Facing,Square Feet,BHK Apartment,Price,Furnish Status,Deposit Status,Bathroom Count,Location,Amenities
null,560,1 BHK Apartment,18000 ,Semi-Furnished,No Deposit,1 bathrooms,"Goregaon East, Mumbai","Rain Water Harvesting, Indoor Games, Swimming Pool, Car Parking, Vaastu Compliant, 24 X 7 Security, Full Power Backup, Gymnasium, Lift(s), Sports Facility, Club House, Jogging Track, Children's play area, Landscaped Gardens"
null,1500,3 BHK Apartment,65000 ,Semi-Furnished,No Deposit,3 bathrooms,"Andheri West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,720,1 BHK Apartment,17000 ,Semi-Furnished,No Deposit,2 bathrooms,"Karjat, Mumbai","Swimming Pool, Gymnasium, Car Parking, Children's play area, Full Power Backup, Club House, Lift(s), 24 X 7 Security, Sports Facility, Jogging Track, Landscaped Gardens"
null,850,1 BHK Apartment,32000 ,Unfurnished,No Deposit,2 bathrooms,"Malad West, Mumbai","Car Parking, Multipurpose Room, Indoor Games, Lift(s), 24 X 7 Security, Rain Water Harvesting, Cafeteria, Intercom, Jogging Track, Children's play area, Full Power Backup, Swimming Pool, Gymnasium, Club House, Landscaped Gardens, Sports Facility"
null,3500,5 BHK Apartment,1250000 ,Semi-Furnished,No Deposit,6 bathrooms,"Prabhadevi, Mumbai","Swimming Pool, Lift(s), 24 X 7 Security, Multipurpose Room, Full Power Backup, Rain Water Harvesting, Cafeteria, Jogging Track, Indoor Games, Children's play area, Car Parking, Gymnasium, Club House, Landscaped Gardens, Sports Facility"
null,700,1 BHK Apartment,16500 ,Semi-Furnished,No Deposit,2 bathrooms,"Mira Road East, Mumbai","Rain Water Harvesting, Intercom, Jogging Track, Car Parking, Vaastu Compliant, 24 X 7 Security, Full Power Backup, Lift(s), Swimming Pool, Sports Facility, Landscaped Gardens, Club House, Children's play area, Gymnasium"
null,1060,2 BHK Apartment,32000 ,Semi-Furnished,No Deposit,2 bathrooms,"Bhayandar East, Mumbai","Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Rain Water Harvesting, Intercom, Indoor Games, Vaastu Compliant, 24 X 7 Security, Car Parking, Children's play area, Jogging Track, Landscaped Gardens, Club House, Sports Facility"
null,720,1 BHK Apartment,20000 ,Semi-Furnished,No Deposit,2 bathrooms,"Mira Road East, Mumbai","Swimming Pool, Landscaped Gardens, Lift(s), Full Power Backup, Multipurpose Room, Rain Water Harvesting, Intercom, Jogging Track, 24 X 7 Security, Car Parking, Gymnasium, Club House, Children's play area, Sports Facility"
null,1060,2 BHK Apartment,20000 ,Semi-Furnished,No Deposit,2 bathrooms,"Bhayandar East, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1060,2 BHK Apartment,40000 ,Semi-Furnished,No Deposit,2 bathrooms,"Mira Road East, Mumbai","Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Rain Water Harvesting, Cafeteria, Jogging Track, Indoor Games, Vaastu Compliant, 24 X 7 Security, Car Parking, Club House, Children's play area, Landscaped Gardens, Sports Facility"
null,2600,4 BHK Apartment,550000 ,Unfurnished,No Deposit,5 bathrooms,"Prabhadevi, Mumbai","Swimming Pool, Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Sports Facility, Jogging Track, Landscaped Gardens"
null,1650,3 BHK Apartment,150000 ,Furnished,No Deposit,3 bathrooms,"Ghatkopar West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
North facing,1367,3 BHK Apartment,148000 ,Semi-Furnished,No Deposit,3 bathrooms,"Andheri West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
NorthEast facing,2200,4 BHK Apartment,165000 ,Unfurnished,No Deposit,4 bathrooms,"Andheri West, Mumbai","Gymnasium, Lift(s), Intercom, Swimming Pool, Full Power Backup, Children's play area, 24 X 7 Security, Club House, Sports Facility, Jogging Track, Landscaped Gardens"
North facing,1666,3 BHK Apartment,145000 ,Unfurnished,No Deposit,3 bathrooms,"Andheri West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1560,3 BHK Apartment,160000 ,Furnished,No Deposit,3 bathrooms,"Andheri West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
East facing,1850,3 BHK Apartment,230000 ,Semi-Furnished,No Deposit,3 bathrooms,"Juhu, Mumbai","Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Children's play area, 24 X 7 Security, Jogging Track, Landscaped Gardens"
North facing,1350,3 BHK Apartment,148000 ,Semi-Furnished,No Deposit,3 bathrooms,"Andheri West, Mumbai","Swimming Pool, Lift(s), Rain Water Harvesting, Intercom, Sports Facility, Full Power Backup, Gymnasium, Club House, Children's play area, 24 X 7 Security, Jogging Track, Landscaped Gardens"
East facing,1090,2 BHK Apartment,54000 ,Semi-Furnished,No Deposit,2 bathrooms,"Malad East, Mumbai","Gymnasium, Lift(s), Rain Water Harvesting, Full Power Backup, 24 X 7 Security, Children's play area, Club House, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
East facing,1580,3 BHK Apartment,110000 ,Furnished,No Deposit,3 bathrooms,"Malad East, Mumbai","Jogging Track, ATM, Intercom, Lift(s), Cafeteria, Full Power Backup, Rain Water Harvesting, Children's play area, Staff Quarter, Club House, Multipurpose Room, Swimming Pool, Indoor Games, Hospital, School, Shopping Mall, Car Parking, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security, Landscaped Gardens"
West facing,1900,3 BHK Apartment,160000 ,Semi-Furnished,No Deposit,4 bathrooms,"Goregaon East, Mumbai","Swimming Pool, Lift(s), Sports Facility, Full Power Backup, Indoor Games, Children's play area, Jogging Track, Club House, Multipurpose Room, Staff Quarter, Rain Water Harvesting, Intercom, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Landscaped Gardens"
West facing,1820,3 BHK Apartment,110000 ,Semi-Furnished,No Deposit,3 bathrooms,"Goregaon East, Mumbai","Swimming Pool, Landscaped Gardens, Sports Facility, Lift(s), Indoor Games, Full Power Backup, Children's play area, Multipurpose Room, Rain Water Harvesting, Intercom, Jogging Track, Vaastu Compliant, 24 X 7 Security, Car Parking, Gymnasium, Club House"
West facing,1200,3 BHK Apartment,100000 ,Semi-Furnished,No Deposit,2 bathrooms,"Goregaon East, Mumbai","Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Children's play area, 24 X 7 Security, Jogging Track, Landscaped Gardens"
West facing,1050,2 BHK Apartment,85000 ,Semi-Furnished,No Deposit,2 bathrooms,"Goregaon East, Mumbai","Swimming Pool, Landscaped Gardens, Sports Facility, Lift(s), Indoor Games, Full Power Backup, Children's play area, Multipurpose Room, Rain Water Harvesting, Intercom, Jogging Track, Vaastu Compliant, 24 X 7 Security, Car Parking, Gymnasium, Club House"
West facing,2500,4 BHK Apartment,160000 ,Semi-Furnished,No Deposit,4 bathrooms,"Goregaon East, Mumbai","Swimming Pool, Landscaped Gardens, Sports Facility, Lift(s), Indoor Games, Full Power Backup, Children's play area, Multipurpose Room, Rain Water Harvesting, Intercom, Jogging Track, Vaastu Compliant, 24 X 7 Security, Car Parking, Gymnasium, Club House"
North facing,3200,4 BHK Apartment,300000 ,Semi-Furnished,No Deposit,5 bathrooms,"Goregaon East, Mumbai","Swimming Pool, Lift(s), Sports Facility, Full Power Backup, Indoor Games, Children's play area, Jogging Track, Club House, Multipurpose Room, Staff Quarter, Rain Water Harvesting, Intercom, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Landscaped Gardens"
East facing,475,1 BHK Apartment,28000 ,Furnished,No Deposit,1 bathrooms,"Jogeshwari East, Mumbai","Shopping Mall, Lift(s), Rain Water Harvesting, Intercom, Maintenance Staff, 24 X 7 Security, Car Parking, Vaastu Compliant, Children's play area, Full Power Backup, Jogging Track, Gymnasium, Swimming Pool, Club House, Landscaped Gardens, Sports Facility"
SouthEast facing,850,2 BHK Apartment,75000 ,Furnished,No Deposit,2 bathrooms,"Dadar West, Mumbai","Full Power Backup, Lift(s), 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
NorthEast facing,950,2 BHK Apartment,75000 ,Semi-Furnished,No Deposit,2 bathrooms,"Andheri West, Mumbai","Intercom, Lift(s), 24 X 7 Security, Children's play area, Club House, Full Power Backup, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens, Gymnasium"
SouthEast facing,1400,3 BHK Apartment,160000 ,Furnished,No Deposit,3 bathrooms,"Andheri West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
NorthWest facing,458,1 BHK Apartment,40000 ,Semi-Furnished,No Deposit,2 bathrooms,"Malad West, Mumbai","ATM, Lift(s), Hospital, School, Shopping Mall, Rain Water Harvesting, Jogging Track, 24 X 7 Security, Car Parking, Vaastu Compliant, Full Power Backup, Gymnasium, Landscaped Gardens, Children's play area, Swimming Pool, Club House, Sports Facility"
NorthEast facing,1650,4 BHK Apartment,165000 ,Furnished,No Deposit,4 bathrooms,"Goregaon West, Mumbai","Car Parking, Multipurpose Room, Indoor Games, Lift(s), Jogging Track, 24 X 7 Security, Vaastu Compliant, Staff Quarter, Rain Water Harvesting, Intercom, Maintenance Staff, Club House, Children's play area, Full Power Backup, Swimming Pool, Gymnasium, Landscaped Gardens, Sports Facility"
East facing,1250,3 BHK Apartment,95000 ,Unfurnished,No Deposit,3 bathrooms,"Goregaon West, Mumbai","Landscaped Gardens, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Children's play area, Multipurpose Room, Rain Water Harvesting, Cafeteria, Intercom, Club House, 24 X 7 Security, Car Parking, Swimming Pool, Gymnasium, Sports Facility"
East facing,2100,3 BHK Apartment,120000 ,Semi-Furnished,No Deposit,3 bathrooms,"Malad East, Mumbai","Sports Facility, Landscaped Gardens, Indoor Games, Lift(s), Jogging Track, Full Power Backup, Intercom, Children's play area, Club House, Multipurpose Room, Staff Quarter, Rain Water Harvesting, Cafeteria, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Swimming Pool"
East facing,600,2 BHK Apartment,52000 ,Semi-Furnished,No Deposit,2 bathrooms,"Malad West, Mumbai","Intercom, Children's play area, Lift(s), Landscaped Gardens, Club House, Full Power Backup, Swimming Pool, Sports Facility, Jogging Track, 24 X 7 Security, Gymnasium"
East facing,550,1 BHK Apartment,35000 ,Furnished,No Deposit,1 bathrooms,"Goregaon East, Mumbai","Gymnasium, Lift(s), Rain Water Harvesting, Intercom, Sports Facility, 24 X 7 Security, Car Parking, Club House, Children's play area, Full Power Backup, Landscaped Gardens, Jogging Track, Swimming Pool"
North facing,665,1 BHK Apartment,47000 ,Semi-Furnished,No Deposit,1 bathrooms,"Andheri East, Mumbai","Jogging Track, ATM, Maintenance Staff, Lift(s), Intercom, Full Power Backup, Cafeteria, Children's play area, Rain Water Harvesting, Club House, Staff Quarter, Swimming Pool, Multipurpose Room, Indoor Games, 24 X 7 Security, Hospital, School, Shopping Mall, Landscaped Gardens, Vaastu Compliant, Car Parking, Sports Facility, Gymnasium"
East facing,645,1 BHK Apartment,45000 ,Semi-Furnished,No Deposit,2 bathrooms,"Andheri East, Mumbai","Swimming Pool, Lift(s), Sports Facility, Full Power Backup, Indoor Games, Children's play area, Jogging Track, Club House, Multipurpose Room, Staff Quarter, Rain Water Harvesting, Intercom, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Landscaped Gardens"
North facing,650,1 BHK Apartment,43000 ,Semi-Furnished,No Deposit,2 bathrooms,"Andheri East, Mumbai","Swimming Pool, Landscaped Gardens, Lift(s), Full Power Backup, Indoor Games, Children's play area, Rain Water Harvesting, Intercom, Maintenance Staff, Jogging Track, Club House, 24 X 7 Security, Car Parking, Gymnasium, Sports Facility"
null,1645,3 BHK Apartment,60000 ,Unfurnished,No Deposit,3 bathrooms,"Airoli, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1200,2 BHK Apartment,38000 ,Unfurnished,No Deposit,2 bathrooms,"Airoli, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,465,1 BHK Apartment,12000 ,Unfurnished,No Deposit,2 bathrooms,"Dombivali East, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,437,1 BHK Apartment,10000 ,Unfurnished,No Deposit,1 bathrooms,"Dombivali, Mumbai","ATM, Lift(s), Jogging Track, Full Power Backup, Golf Course, Children's play area, Shopping Mall, Multipurpose Room, Cafeteria, Club House, 24 X 7 Security, Car Parking, Swimming Pool, Gymnasium, Landscaped Gardens, Sports Facility"
null,1300,3 BHK Apartment,18000 ,Semi-Furnished,No Deposit,3 bathrooms,"Vasai, Mumbai","Intercom, Jogging Track, Sports Facility, Car Parking, Club House, Children's play area, 24 X 7 Security, Full Power Backup, Lift(s), Swimming Pool, Landscaped Gardens, Gymnasium"
null,650,1 BHK Apartment,7500 ,Semi-Furnished,No Deposit,1 bathrooms,"Virar, Mumbai","Swimming Pool, Landscaped Gardens, Sports Facility, Lift(s), Jogging Track, Full Power Backup, Children's play area, Multipurpose Room, Staff Quarter, Rain Water Harvesting, Intercom, Vaastu Compliant, 24 X 7 Security, Car Parking, Gymnasium, Club House"
null,392,1 BHK Apartment,30000 ,Semi-Furnished,No Deposit,2 bathrooms,"Vikroli East, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,670,2 BHK Apartment,53000 ,Furnished,No Deposit,2 bathrooms,"Malad East, Mumbai","Swimming Pool, Lift(s), Rain Water Harvesting, Intercom, Jogging Track, Indoor Games, 24 X 7 Security, Car Parking, Gymnasium, Club House, Children's play area, Full Power Backup, Landscaped Gardens, Sports Facility"
null,1800,4 BHK Apartment,125000 ,Unfurnished,No Deposit,4 bathrooms,"Borivali East, Mumbai","Swimming Pool, Shopping Mall, Lift(s), Full Power Backup, Indoor Games, Children's play area, Jogging Track, Club House, Rain Water Harvesting, Cafeteria, Intercom, Vaastu Compliant, 24 X 7 Security, Car Parking, Gymnasium, Landscaped Gardens, Sports Facility"
null,1480,3 BHK Apartment,90000 ,Unfurnished,No Deposit,3 bathrooms,"Borivali East, Mumbai","Swimming Pool, Shopping Mall, Lift(s), Full Power Backup, Indoor Games, Children's play area, Jogging Track, Club House, Rain Water Harvesting, Cafeteria, Intercom, Vaastu Compliant, 24 X 7 Security, Car Parking, Gymnasium, Landscaped Gardens, Sports Facility"
null,520,1 BHK Apartment,33000 ,Semi-Furnished,No Deposit,2 bathrooms,"Malad East, Mumbai","Swimming Pool, Lift(s), Rain Water Harvesting, Golf Course, Intercom, Jogging Track, 24 X 7 Security, Car Parking, Gymnasium, Children's play area, Full Power Backup, Club House, Landscaped Gardens, Sports Facility"
null,562,1 BHK Apartment,40000 ,Semi-Furnished,No Deposit,2 bathrooms,"Goregaon East, Mumbai","Landscaped Gardens, Lift(s), Indoor Games, 24 X 7 Security, Jogging Track, Club House, Multipurpose Room, Rain Water Harvesting, Intercom, Maintenance Staff, Gymnasium, Children's play area, Full Power Backup, Swimming Pool, Sports Facility"
null,1260,3 BHK Apartment,85000 ,Furnished,No Deposit,3 bathrooms,"Malad East, Mumbai","Swimming Pool, Shopping Mall, Lift(s), Full Power Backup, Jogging Track, Children's play area, Staff Quarter, Rain Water Harvesting, Intercom, Vaastu Compliant, 24 X 7 Security, Car Parking, Gymnasium, Club House, Landscaped Gardens, Sports Facility"
null,650,2 BHK Apartment,47772 ,Semi-Furnished,No Deposit,1 bathrooms,"Sewri, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,510,2 BHK Apartment,35000 ,Semi-Furnished,No Deposit,2 bathrooms,"Vikhroli, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,620,1 BHK Apartment,50000 ,Semi-Furnished,No Deposit,2 bathrooms,"Goregaon East, Mumbai","Sports Facility, ATM, Indoor Games, Lift(s), Jogging Track, Children's play area, Intercom, Club House, Multipurpose Room, Rain Water Harvesting, Cafeteria, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Swimming Pool, Landscaped Gardens, Full Power Backup"
null,430,1 BHK Apartment,10500 ,Unfurnished,No Deposit,1 bathrooms,"Virar, Mumbai","Gymnasium, Multipurpose Room, Lift(s), Rain Water Harvesting, Intercom, Jogging Track, Car Parking, Full Power Backup, Club House, Children's play area, 24 X 7 Security, Landscaped Gardens, Sports Facility, Swimming Pool"
null,1000,2 BHK Apartment,70000 ,Semi-Furnished,No Deposit,2 bathrooms,"Goregaon West, Mumbai","Multipurpose Room, Rain Water Harvesting, Jogging Track, Gymnasium, Children's play area, Swimming Pool, Full Power Backup, Sports Facility, Lift(s), Club House, 24 X 7 Security, Landscaped Gardens"
null,392,1 BHK Apartment,30000 ,Semi-Furnished,No Deposit,2 bathrooms,"Vikhroli, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,850,2 BHK Apartment,50000 ,Semi-Furnished,No Deposit,2 bathrooms,"Goregaon East, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,2600,4 BHK Apartment,450000 ,Semi-Furnished,No Deposit,4 bathrooms,"Lower Parel, Mumbai","Swimming Pool, Lift(s), Cafeteria, Jogging Track, Indoor Games, Sports Facility, Gymnasium, Children's play area, 24 X 7 Security, Club House, Full Power Backup, Landscaped Gardens"
null,700,1 BHK Apartment,55120 ,Furnished,No Deposit,1 bathrooms,"Andheri West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,400,1 BHK Apartment,21200 ,Furnished,No Deposit,1 bathrooms,"Kharghar, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
NorthWest facing,650,1 BHK Apartment,16500 ,Semi-Furnished,No Deposit,2 bathrooms,"Mira Road East, Mumbai","Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Sports Facility, Children's play area, Rain Water Harvesting, Intercom, Maintenance Staff, Vaastu Compliant, 24 X 7 Security, Car Parking, Club House, Jogging Track, Landscaped Gardens"
North facing,1055,2 BHK Apartment,26500 ,Semi-Furnished,No Deposit,2 bathrooms,"Mira Road East, Mumbai","Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Sports Facility, Children's play area, Staff Quarter, Rain Water Harvesting, Intercom, Jogging Track, Vaastu Compliant, 24 X 7 Security, Car Parking, Club House, Landscaped Gardens"
West facing,900,2 BHK Apartment,20000 ,Unfurnished,No Deposit,2 bathrooms,"Thane West, Mumbai","Sports Facility, ATM, Jogging Track, Lift(s), Intercom, Full Power Backup, Cafeteria, Children's play area, Club House, School, Shopping Mall, Rain Water Harvesting, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Swimming Pool, Landscaped Gardens"
North facing,650,1 BHK Apartment,16500 ,Semi-Furnished,No Deposit,1 bathrooms,"Mira Road East, Mumbai","Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Sports Facility, Children's play area, Rain Water Harvesting, Intercom, Maintenance Staff, Vaastu Compliant, 24 X 7 Security, Car Parking, Club House, Jogging Track, Landscaped Gardens"
East facing,1080,2 BHK Apartment,20000 ,Semi-Furnished,No Deposit,2 bathrooms,"Kalyan West, Mumbai","Gymnasium, Lift(s), Jogging Track, Indoor Games, Swimming Pool, Car Parking, Club House, Children's play area, 24 X 7 Security, Full Power Backup, Sports Facility, Landscaped Gardens"
East facing,1500,3 BHK Apartment,35000 ,Unfurnished,No Deposit,3 bathrooms,"Kalyan West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,600,1 BHK Apartment,50000 ,Furnished,No Deposit,2 bathrooms,"Ville Parle East, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,830,2 BHK Apartment,55000 ,Unfurnished,No Deposit,2 bathrooms,"Goregaon East, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1152,3 BHK Apartment,67000 ,Unfurnished,No Deposit,3 bathrooms,"Goregaon East, Mumbai","Jogging Track, ATM, Maintenance Staff, Lift(s), Intercom, Full Power Backup, Cafeteria, Children's play area, Rain Water Harvesting, Club House, Multipurpose Room, Swimming Pool, Indoor Games, Hospital, School, Shopping Mall, Landscaped Gardens, Car Parking, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security"
null,484,1 BHK Apartment,45000 ,Unfurnished,No Deposit,2 bathrooms,"Goregaon West, Mumbai","Club House, Lift(s), Gymnasium, Full Power Backup, Jogging Track, Indoor Games, Swimming Pool, 24 X 7 Security, Car Parking, Vaastu Compliant, Children's play area, Sports Facility, Landscaped Gardens"
East facing,728,2 BHK Apartment,150000 ,Furnished,No Deposit,2 bathrooms,"Girgaon, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1116,3 BHK Apartment,100000 ,Unfurnished,No Deposit,3 bathrooms,"Andheri West, Mumbai","ATM, Lift(s), Jogging Track, Full Power Backup, Maintenance Staff, Children's play area, Hospital, School, Shopping Mall, Vaastu Compliant, 24 X 7 Security, Car Parking, Rain Water Harvesting, Landscaped Gardens, Swimming Pool, Club House, Gymnasium, Sports Facility"
null,1320,3 BHK Apartment,100000 ,Unfurnished,No Deposit,3 bathrooms,"Borivali East, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
North facing,695,1 BHK Apartment,17500 ,Semi-Furnished,No Deposit,2 bathrooms,"Mira Road East, Mumbai","Gymnasium, Lift(s), Staff Quarter, Rain Water Harvesting, Jogging Track, 24 X 7 Security, Car Parking, Vaastu Compliant, Full Power Backup, Sports Facility, Club House, Children's play area, Landscaped Gardens, Swimming Pool"
null,1200,3 BHK Apartment,90000 ,Semi-Furnished,No Deposit,3 bathrooms,"Andheri West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1200,3 BHK Apartment,80000 ,Semi-Furnished,No Deposit,3 bathrooms,"Andheri West, Mumbai","Sports Facility, Full Power Backup, Lift(s), 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Jogging Track, Landscaped Gardens"
South facing,900,2 BHK Apartment,48000 ,Furnished,No Deposit,2 bathrooms,"Borivali East, Mumbai","Intercom, Sports Facility, Full Power Backup, Lift(s), Club House, Landscaped Gardens, Swimming Pool, 24 X 7 Security, Jogging Track, Children's play area, Gymnasium"
North facing,1000,3 BHK Apartment,55000 ,Unfurnished,No Deposit,3 bathrooms,"Borivali East, Mumbai","Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Staff Quarter, Intercom, Jogging Track, Sports Facility, 24 X 7 Security, Car Parking, Club House, Vaastu Compliant, Children's play area, Landscaped Gardens"
East facing,1100,3 BHK Apartment,65000 ,Semi-Furnished,No Deposit,3 bathrooms,"Borivali East, Mumbai","Indoor Games, ATM, Jogging Track, Lift(s), Maintenance Staff, Full Power Backup, Intercom, Children's play area, Rain Water Harvesting, Club House, Staff Quarter, Swimming Pool, Car Parking, Hospital, School, Shopping Mall, 24 X 7 Security, Sports Facility, Gymnasium, Vaastu Compliant, Landscaped Gardens"
North facing,1600,3 BHK Apartment,75000 ,Unfurnished,No Deposit,3 bathrooms,"Borivali East, Mumbai","Sports Facility, School, Indoor Games, Lift(s), Jogging Track, Full Power Backup, Children's play area, Landscaped Gardens, Multipurpose Room, Rain Water Harvesting, Intercom, Club House, 24 X 7 Security, Car Parking, Gymnasium, Swimming Pool"
null,950,2 BHK Apartment,58000 ,Furnished,No Deposit,2 bathrooms,"Kandivali East, Mumbai","Swimming Pool, Landscaped Gardens, Lift(s), Full Power Backup, Jogging Track, Children's play area, Maintenance Staff, Club House, Multipurpose Room, Staff Quarter, Rain Water Harvesting, Intercom, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Sports Facility"
null,1480,3 BHK Apartment,103000 ,Unfurnished,No Deposit,3 bathrooms,"Borivali East, Mumbai","Swimming Pool, Shopping Mall, Lift(s), Full Power Backup, Indoor Games, Children's play area, Jogging Track, Club House, Rain Water Harvesting, Cafeteria, Intercom, Vaastu Compliant, 24 X 7 Security, Car Parking, Gymnasium, Landscaped Gardens, Sports Facility"
null,1350,3 BHK Apartment,55000 ,Furnished,No Deposit,3 bathrooms,"Kandivali East, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,330,1 RK Studio Apartment,20000 ,Furnished,No Deposit,1 bathrooms,"Goregaon East, Mumbai","Rain Water Harvesting, Indoor Games, Swimming Pool, Car Parking, Vaastu Compliant, 24 X 7 Security, Full Power Backup, Gymnasium, Lift(s), Sports Facility, Club House, Jogging Track, Children's play area, Landscaped Gardens"
null,800,2 BHK Apartment,34000 ,Furnished,No Deposit,2 bathrooms,"Goregaon East, Mumbai","School, Lift(s), Jogging Track, 24 X 7 Security, Intercom, Vaastu Compliant, Shopping Mall, Staff Quarter, Rain Water Harvesting, Club House, Children's play area, Full Power Backup, Swimming Pool, Gymnasium, Landscaped Gardens, Sports Facility"
null,520,1 BHK Apartment,26000 ,Semi-Furnished,No Deposit,2 bathrooms,"Kandivali East, Mumbai","ATM, Lift(s), Jogging Track, Full Power Backup, Hospital, School, Shopping Mall, Staff Quarter, Vaastu Compliant, 24 X 7 Security, Car Parking, Swimming Pool, Gymnasium, Rain Water Harvesting, Children's play area, Club House, Landscaped Gardens, Sports Facility"
null,900,2 BHK Apartment,75000 ,Semi-Furnished,No Deposit,2 bathrooms,"Andheri West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
